,RMSE_mean,RMSE_std,BW_THRE,Precision,Recall,F1-Score
37,31.221148466019017,42.4353848896998,37,0.8432835820895522,0.3373134328358209,0.48187633262260127
38,32.45043437632069,44.89372689785596,38,0.8174603174603174,0.3074626865671642,0.44685466377440347
39,35.489362388822755,53.10694197590188,39,0.8604651162790697,0.33134328358208953,0.478448275862069
40,35.24348588058572,49.6098845560695,40,0.8333333333333334,0.31343283582089554,0.45553145336225603
41,34.7700512751462,48.014067038575604,41,0.859375,0.3283582089552239,0.47516198704103674
42,37.954097292843294,51.230196616604545,42,0.8333333333333334,0.2835820895522388,0.42316258351893093
43,41.549288024049716,49.92362526858276,43,0.7567567567567568,0.2507462686567164,0.37668161434977576
44,39.20666286670986,49.81222727776883,44,0.7767857142857143,0.25970149253731345,0.38926174496644295
45,43.2776226260705,49.445335627820846,45,0.7037037037037037,0.22686567164179106,0.3431151241534989
46,45.85645801587609,56.15887660205692,46,0.73,0.21791044776119403,0.335632183908046
47,53.13708512391319,66.11877281924413,47,0.6923076923076923,0.1880597014925373,0.2957746478873239
48,54.16046167160607,57.78565545098338,48,0.68,0.20298507462686566,0.31264367816091954
49,62.84429032302338,66.2752900757833,49,0.6595744680851063,0.18507462686567164,0.289044289044289
50,65.61882063957124,66.11353060340583,50,0.5894736842105263,0.16716417910447762,0.2604651162790697
51,68.08818405970823,62.77838669137032,51,0.5652173913043478,0.15522388059701492,0.24355971896955506
52,75.40174121624581,66.06759281583135,52,0.5555555555555556,0.14925373134328357,0.23529411764705882
53,86.65388796856762,67.92949077521584,53,0.5,0.11940298507462686,0.19277108433734938
54,87.52846953278964,65.36580446435129,54,0.44047619047619047,0.11044776119402985,0.17661097852028637
55,101.48183911192487,67.30077961088953,55,0.4222222222222222,0.11343283582089553,0.17882352941176471
56,103.74436168217376,71.63416759906237,56,0.2702702702702703,0.08955223880597014,0.13452914798206278
57,101.89614172438506,66.7552880762308,57,0.21951219512195122,0.08059701492537313,0.11790393013100435
58,107.24213641146557,66.51087508148625,58,0.17880794701986755,0.08059701492537313,0.11111111111111112
59,108.85913365531057,65.02850004615796,59,0.1794871794871795,0.08358208955223881,0.11405295315682282
60,117.36697459201248,69.01735053027605,60,0.16981132075471697,0.08059701492537313,0.10931174089068825
61,124.39144469552136,71.03048310307011,61,0.14545454545454545,0.07164179104477612,0.09599999999999999
62,129.81120715200132,61.08756592889942,62,0.10526315789473684,0.05373134328358209,0.07114624505928854
63,139.07454128045987,64.8141874953625,63,0.10674157303370786,0.056716417910447764,0.07407407407407407
64,141.42504621068773,56.41255662033386,64,0.08542713567839195,0.050746268656716415,0.06367041198501872
65,142.64290249942013,57.50918748236858,65,0.08064516129032258,0.04477611940298507,0.057581573896353155
66,132.8564900397042,61.63253488943665,66,0.1437125748502994,0.07164179104477612,0.0956175298804781
67,133.65849879844512,65.1080013145371,67,0.13414634146341464,0.06567164179104477,0.08817635270541083
68,125.75543365857392,59.75933584344431,68,0.18181818181818182,0.07761194029850746,0.10878661087866111
69,121.72531329343951,59.91965756791987,69,0.17293233082706766,0.06865671641791045,0.0982905982905983
70,117.1059876067067,61.2069814653749,70,0.224,0.08358208955223881,0.12173913043478261
