id,t_read_image,t_blobs,t_clean.t_gray_norm,t_clean.t_blur,t_clean.t_eq,t_clean.t_thresh,t_erode.t_dilate,t_erode.t_open,t_detect.t_contours,t_detect.t_blobs_loop
40,0.018690387,0.002536225,0.000730181,0.006666034,0.000322128,0.000123129,0.001907155,0.005554874,0.00039009,0.000101907
41,0.016543438,0.000630089,0.000742792,0.006623201,0.000308813,0.000120518,0.001882822,0.00552567,0.000410794,0.00013348
42,0.017010842,0.000621626,0.00073494,0.006629145,0.000328479,0.000122,0.001931692,0.005561523,0.000396016,9.0055e-05
43,0.018637665,0.000679033,0.000738291,0.006800941,0.00030935,0.000123518,0.001916155,0.005544856,0.000391091,0.000100351
44,0.016540679,0.002226154,0.000790181,0.006570368,0.000301887,0.000120943,0.001905618,0.00549943,0.000388534,0.000133352
45,0.018975497,0.002166987,0.000735532,0.006620534,0.000302499,0.000119758,0.001880026,0.005533985,0.00037122,7.5629e-05
46,0.018612629,0.000654792,0.00073657,0.006697552,0.000308295,0.000123406,0.001884729,0.005538041,0.000383702,8.9147e-05
47,0.018569518,0.001846563,0.00076244,0.006632942,0.000311942,0.000121203,0.001883859,0.005539263,0.000392127,0.000123629
48,0.018859738,0.002293875,0.000737533,0.006673386,0.000309239,0.000124906,0.001883822,0.005549263,0.000379461,0.000120721
49,0.018485648,0.002157043,0.00078118,0.006725719,0.000317183,0.000122036,0.001981451,0.005506171,0.000371849,7.6426e-05
50,0.016091922,0.000633441,0.000738125,0.006822922,0.000312721,0.000123592,0.001885804,0.005548374,0.000396942,0.000102592
51,0.018871294,0.000640385,0.000739626,0.006706737,0.000316813,0.000122147,0.001906118,0.005597022,0.000400794,9.1629e-05
52,0.01647116,0.000661885,0.000737514,0.006693163,0.000305462,0.000120517,0.001902581,0.005510375,0.000396479,0.00014724
53,0.018640314,0.003193832,0.000734959,0.006736107,0.000316832,0.000121462,0.001933414,0.005743429,0.000551682,0.000131666
54,0.018450111,0.002749428,0.000827032,0.00698918,0.000416405,0.000193925,0.001976321,0.00589715,0.000443645,0.0001135
55,0.019230421,0.001595694,0.000765236,0.006553294,0.00033809,0.000132907,0.001942618,0.005517338,0.000379072,7.9981e-05
56,0.018659333,0.001860934,0.000741236,0.006675423,0.000310294,0.00012587,0.001887007,0.005544893,0.000384202,9.9129e-05
57,0.01894533,0.000683552,0.000733607,0.00685957,0.000340665,0.000129314,0.001945284,0.005676077,0.000446256,0.000116592
58,0.019214385,0.0023383,0.000746033,0.00675794,0.00034485,0.000132259,0.001916674,0.005665206,0.000478978,8.1389e-05
59,0.018988034,0.000628941,0.000809513,0.006779163,0.000348757,0.000136444,0.001967229,0.005607096,0.000535311,0.000136018
60,0.018892479,0.000690699,0.000795514,0.006600183,0.000335905,0.000174962,0.001926173,0.005682522,0.000503645,0.000142703
61,0.018339538,0.000667718,0.000796088,0.006595349,0.000299535,0.000121444,0.001901118,0.005535208,0.000408923,0.000113036
62,0.018813517,0.002148191,0.000787662,0.006619442,0.000307739,0.000124129,0.0019161,0.005565078,0.000407368,0.000105351
63,0.016014255,0.000630534,0.000736274,0.006703811,0.000297443,0.000120906,0.001884822,0.005523615,0.00038609,9.9685e-05
64,0.018654851,0.000785754,0.000735181,0.006824922,0.00031035,0.000122554,0.001881656,0.005655595,0.000476589,0.0001335
65,0.016468678,0.002225061,0.000738829,0.00668233,0.000313239,0.000123296,0.00190447,0.005523893,0.000388331,0.000103036
66,0.016551641,0.002343782,0.00073681,0.006642442,0.000310776,0.000122166,0.0018851,0.005533782,0.000395183,0.000122185
67,0.016426327,0.001614935,0.00076568,0.006648701,0.000302091,0.000120777,0.001882007,0.005585059,0.000411646,9.9055e-05
68,0.015960553,0.000634867,0.000791532,0.00664472,0.000310627,0.00012637,0.001900952,0.00552117,0.000384757,0.000129981
69,0.01645679,0.002278042,0.000783699,0.006616423,0.000303628,0.000121259,0.001911563,0.005507633,0.000379443,0.000117258
