t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
2.883290248,2.73937649,0.138757698,0.003162938,1751290012114045943,2000,8000,1751290012252801567,152,77
2.047536026,2.036386696,0.004017408,0.006418301,1751290014293489205,12000,2000,1751290014297502576,65,23
1.261641513,1.25099314,0.004454476,0.003657062,1751290015558529783,8000,8000,1751290015562981741,99,76
1.553919059,1.342375503,0.203978862,0.006857166,1751290016910440508,2000,2000,1751290017114415056,153,22
2.635985261,2.627898464,0.003334862,0.00429846,1751290019750049581,10000,14000,1751290019753383517,82,129
1.293833201,1.280463068,0.005062172,0.00480512,1751290021042947017,6000,8000,1751290021047935448,117,79
0.769870115,0.598858395,0.165061319,0.004809064,1751290021653165108,4000,8000,1751290021818225446,134,78
0.935144894,0.76082985,0.166921516,0.005271335,1751290022586995539,2000,4000,1751290022753961407,153,40
2.649247684,2.637867803,0.004103925,0.003953965,1751290025401234451,12000,16000,1751290025405330895,65,145
2.075390205,1.968582905,0.101217006,0.004226053,1751290027379880126,12000,6000,1751290027481094762,63,60
1.225222688,1.215990259,0.004318255,0.004490328,1751290028702061415,6000,2000,1751290028706374097,114,23
2.026292521,2.017220237,0.004106221,0.00393915,1751290030729788434,4000,12000,1751290030733887712,134,110
1.289054536,1.1937933,0.087975095,0.005644348,1751290031933764170,2000,6000,1751290032021791356,152,58
3.176172212,3.163627883,0.004620918,0.007067515,1751290035194254508,2000,22000,1751290035198888722,152,194
3.695818549,3.683908916,0.004460162,0.005354723,1751290038892467228,4000,4000,1751290038896925427,134,44
1.801758357,1.784333854,0.009088302,0.007120736,1751290040688286796,14000,6000,1751290040697378838,48,60
1.499208675,1.480226805,0.004539642,0.012136167,1751290042189628516,14000,14000,1751290042194170454,47,129
1.025633407,1.012311738,0.004691306,0.008061242,1751290043221769427,8000,14000,1751290043226461659,97,130
0.798798433,0.787679678,0.004540956,0.004703621,1751290044024626027,10000,18000,1751290044029166502,82,162
0.784572312,0.775554769,0.00385254,0.004591974,1751290044811417920,14000,16000,1751290044815267386,49,148
2.243432091,2.232629906,0.004633066,0.005678756,1751290047055437151,2000,12000,1751290047060070736,149,112
2.005096422,1.993450877,0.004210461,0.004987636,1751290049062488583,4000,2000,1751290049066695248,134,25
2.961815912,2.950479845,0.004383218,0.006216211,1751290052023798373,10000,16000,1751290052028167183,82,145
1.21132703,1.199633671,0.00444105,0.006642372,1751290053236135852,12000,10000,1751290053240574143,64,99
1.926102903,1.91349802,0.003812985,0.00832196,1751290055161625263,2000,14000,1751290055165436007,149,129
0.718153068,0.636425241,0.069004575,0.011780061,1751290055812582750,6000,14000,1751290055881585658,116,129
0.982482565,0.845156961,0.12775816,0.006715612,1751290056746172742,2000,18000,1751290056873930921,151,162
2.030896356,2.018828873,0.004533789,0.006938517,1751290058900632223,12000,12000,1751290058905162327,68,113
2.154057002,2.14199613,0.00441718,0.00718342,1751290061055017665,8000,2000,1751290061059432345,99,26
3.448982731,3.423185861,0.008096742,0.009272373,1751290064499624808,14000,18000,1751290064507720178,47,164
1.888257503,1.873985828,0.004132332,0.009559518,1751290066392027495,4000,20000,1751290066396155197,132,180
1.464178877,1.451026187,0.004207072,0.008212536,1751290067858308435,12000,18000,1751290067862512433,67,165
1.601254537,1.586208002,0.004162221,0.010316341,1751290069459811599,4000,22000,1751290069463971727,132,197
1.294071129,1.281905109,0.00424472,0.006377024,1751290070758129614,8000,16000,1751290070762371389,99,149
